word,part,filepath
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094057.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094104.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094353.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094400.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094749.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094756.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095016.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095019.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095216.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095219.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095222.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095505.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095508.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095701.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095705.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095856.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_095900.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_100145.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_100305.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_100631.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_100635.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_100720.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_100723.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101023.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101030.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101214.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101216.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101546.jpg
Bye,Sign 1,D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101549.jpg
