img1,img2,word
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_230158.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_214719.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_105247.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_231310.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_192016.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_191235.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_232352.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_100731.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_230503.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_214348.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_102541.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_191912.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_101216.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_190019.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_102003.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_095715.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_231946.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_101838.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_230754.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_102053.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_230507.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_101224.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_190742.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_232053.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094057.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251108_103924.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_120002.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_102100.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_231948.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_100730.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_215129.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_231952.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_220150.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_232645.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_232500.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_225837.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_104041.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251108_121154.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_190533.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_225841.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094400.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_191806.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_103312.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_100314.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_221230.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_095032.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251106_232339.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251108_110214.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_231415.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251108_120708.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_103450.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_191914.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_190133.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251107_191804.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_094749.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_220148.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_102545.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_102011.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_103758.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251108_103624.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_191907.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_094449.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251107_191624.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251108_121050.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_120818.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_102316.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251104_102048.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251106_230956.jpg,Bye
D:\Capstone\Final Pictures\Bye\Sign 1\IMG_20251108_115203.jpg,D:\Capstone\Final Pictures\Bye\Sign 2\IMG_20251104_102546.jpg,Bye
